Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,181.63,183.87,179.40,181.81,17195777,181.63,183.87,179.40,181.81,17195777,45.41,45.97,44.85,45.45,68783109
2018-01-03,186.84,189.50,184.18,187.00,25407580,186.84,189.50,184.18,187.00,25407580,46.71,47.38,46.05,46.75,101630318
2018-01-04,186.28,188.35,184.20,185.62,19400603,186.28,188.35,184.20,185.62,19400603,46.57,47.09,46.05,46.41,77602413
2018-01-05,183.01,184.47,181.55,184.27,19207033,183.01,184.47,181.55,184.27,19207033,45.75,46.12,45.39,46.07,76828134
2018-01-08,181.85,183.58,180.13,181.12,21659041,181.85,183.58,180.13,181.12,21659041,45.46,45.89,45.03,45.28,86636164
2018-01-09,176.35,178.28,174.42,176.72,22524237,176.35,178.28,174.42,176.72,22524237,44.09,44.57,43.61,44.18,90096949
2018-01-10,175.91,177.38,174.44,175.18,15842642,175.91,177.38,174.44,175.18,15842642,43.98,44.34,43.61,43.80,63370570
2018-01-11,176.05,178.15,173.96,176.56,16327873,176.05,178.15,173.96,176.56,16327873,44.01,44.54,43.49,44.14,65311491
2018-01-12,175.83,178.56,173.11,174.84,15386529,175.83,178.56,173.11,174.84,15386529,43.96,44.64,43.28,43.71,61546117
2018-01-15,171.61,173.57,169.66,171.71,24730019,171.61,173.57,169.66,171.71,24730019,42.90,43.39,42.41,42.93,98920076
2018-01-16,172.45,172.93,171.97,172.55,29297571,172.45,172.93,171.97,172.55,29297571,43.11,43.23,42.99,43.14,117190285
2018-01-17,173.23,175.62,170.85,173.35,28587879,173.23,175.62,170.85,173.35,28587879,43.31,43.90,42.71,43.34,114351517
2018-01-18,173.86,175.00,172.73,173.18,27202470,173.86,175.00,172.73,173.18,27202470,43.47,43.75,43.18,43.30,108809882
2018-01-19,171.10,172.03,170.17,171.13,22947604,171.10,172.03,170.17,171.13,22947604,42.78,43.01,42.54,42.78,91790417
2018-01-22,172.62,174.05,171.18,172.32,14957141,172.62,174.05,171.18,172.32,14957141,43.15,43.51,42.79,43.08,59828566
2018-01-23,174.45,177.01,171.89,174.41,25718982,174.45,177.01,171.89,174.41,25718982,43.61,44.25,42.97,43.60,102875926
2018-01-24,171.86,173.76,169.96,171.96,19797108,171.86,173.76,169.96,171.96,19797108,42.97,43.44,42.49,42.99,79188432
2018-01-25,175.45,177.12,173.78,175.18,19712102,175.45,177.12,173.78,175.18,19712102,43.86,44.28,43.45,43.79,78848408
2018-01-26,178.75,181.27,176.22,177.93,16653964,178.75,181.27,176.22,177.93,16653964,44.69,45.32,44.05,44.48,66615858
2018-01-29,181.61,184.40,178.81,181.34,23223998,181.61,184.40,178.81,181.34,23223998,45.40,46.10,44.70,45.34,92895993
2018-01-30,182.95,185.03,180.87,181.43,15253110,182.95,185.03,180.87,181.43,15253110,45.74,46.26,45.22,45.36,61012438
2018-01-31,183.36,185.22,181.51,184.31,22439989,183.36,185.22,181.51,184.31,22439989,45.84,46.30,45.38,46.08,89759956
2018-02-01,183.46,186.32,180.59,183.79,18278373,183.46,186.32,180.59,183.79,18278373,45.86,46.58,45.15,45.95,73113491
2018-02-02,182.56,184.27,180.85,182.28,17273167,182.56,184.27,180.85,182.28,17273167,45.64,46.07,45.21,45.57,69092667
2018-02-05,186.07,188.02,184.12,185.49,28151815,186.07,188.02,184.12,185.49,28151815,46.52,47.00,46.03,46.37,112607260
2018-02-06,188.15,190.94,185.37,187.41,28204358,188.15,190.94,185.37,187.41,28204358,47.04,47.74,46.34,46.85,112817432
2018-02-07,185.46,187.17,183.76,185.25,27042970,185.46,187.17,183.76,185.25,27042970,46.37,46.79,45.94,46.31,108171879
2018-02-08,179.63,180.80,178.45,180.57,18178854,179.63,180.80,178.45,180.57,18178854,44.91,45.20,44.61,45.14,72715415
2018-02-09,179.55,181.09,178.01,179.66,22592010,179.55,181.09,178.01,179.66,22592010,44.89,45.27,44.50,44.91,90368042
2018-02-12,180.28,182.48,178.08,181.16,29330258,180.28,182.48,178.08,181.16,29330258,45.07,45.62,44.52,45.29,117321034
2018-02-13,175.25,177.19,173.31,175.11,15640746,175.25,177.19,173.31,175.11,15640746,43.81,44.30,43.33,43.78,62562986
2018-02-14,183.59,185.70,181.47,183.07,18438483,183.59,185.70,181.47,183.07,18438483,45.90,46.43,45.37,45.77,73753932
2018-02-15,182.28,184.28,180.28,183.16,18409858,182.28,184.28,180.28,183.16,18409858,45.57,46.07,45.07,45.79,73639434
2018-02-16,185.01,187.32,182.69,185.84,24280549,185.01,187.32,182.69,185.84,24280549,46.25,46.83,45.67,46.46,97122197
2018-02-19,189.69,192.32,187.06,188.01,15481530,189.69,192.32,187.06,188.01,15481530,47.42,48.08,46.76,47.00,61926121
2018-02-20,186.88,190.13,183.62,186.30,15121744,186.88,190.13,183.62,186.30,15121744,46.72,47.53,45.91,46.58,60486976
2018-02-21,182.00,183.55,180.46,181.31,25152699,182.00,183.55,180.46,181.31,25152699,45.50,45.89,45.11,45.33,100610795
2018-02-22,183.60,185.82,181.37,183.06,16920624,183.60,185.82,181.37,183.06,16920624,45.90,46.45,45.34,45.76,67682496
2018-02-23,180.35,182.55,178.14,180.68,27031180,180.35,182.55,178.14,180.68,27031180,45.09,45.64,44.53,45.17,108124721
2018-02-26,176.53,180.20,172.86,176.88,18472553,176.53,180.20,172.86,176.88,18472553,44.13,45.05,43.22,44.22,73890211
2018-02-27,178.98,180.73,177.22,177.90,25673591,178.98,180.73,177.22,177.90,25673591,44.74,45.18,44.31,44.47,102694363
2018-02-28,173.78,176.49,171.07,173.87,16126582,173.78,176.49,171.07,173.87,16126582,43.45,44.12,42.77,43.47,64506328
2018-03-01,174.03,176.45,171.60,174.98,24572924,174.03,176.45,171.60,174.98,24572924,43.51,44.11,42.90,43.74,98291695
2018-03-02,177.59,179.43,175.74,176.67,18404080,177.59,179.43,175.74,176.67,18404080,44.40,44.86,43.94,44.17,73616321
2018-03-05,179.92,181.97,177.87,180.55,24656992,179.92,181.97,177.87,180.55,24656992,44.98,45.49,44.47,45.14,98627967
2018-03-06,181.81,183.48,180.13,182.09,20344773,181.81,183.48,180.13,182.09,20344773,45.45,45.87,45.03,45.52,81379090
2018-03-07,179.22,180.80,177.65,179.38,28144193,179.22,180.80,177.65,179.38,28144193,44.81,45.20,44.41,44.84,112576770
2018-03-08,181.16,183.94,178.38,180.68,22351727,181.16,183.94,178.38,180.68,22351727,45.29,45.98,44.60,45.17,89406907
2018-03-09,181.14,184.62,177.65,180.02,19051489,181.14,184.62,177.65,180.02,19051489,45.28,46.16,44.41,45.00,76205956
2018-03-12,177.70,179.61,175.79,177.44,17509521,177.70,179.61,175.79,177.44,17509521,44.42,44.90,43.95,44.36,70038085
2018-03-13,177.21,179.68,174.73,176.92,29208847,177.21,179.68,174.73,176.92,29208847,44.30,44.92,43.68,44.23,116835389
2018-03-14,176.52,178.61,174.43,176.89,20603329,176.52,178.61,174.43,176.89,20603329,44.13,44.65,43.61,44.22,82413315
2018-03-15,176.12,178.52,173.72,175.66,28800302,176.12,178.52,173.72,175.66,28800302,44.03,44.63,43.43,43.92,115201209
2018-03-16,171.60,174.52,168.68,171.92,16320500,171.60,174.52,168.68,171.92,16320500,42.90,43.63,42.17,42.98,65282001
2018-03-19,171.82,173.37,170.26,172.29,25243109,171.82,173.37,170.26,172.29,25243109,42.95,43.34,42.56,43.07,100972437
2018-03-20,173.37,175.47,171.27,174.22,19242179,173.37,175.47,171.27,174.22,19242179,43.34,43.87,42.82,43.55,76968715
2018-03-21,176.20,178.59,173.81,176.03,26749641,176.20,178.59,173.81,176.03,26749641,44.05,44.65,43.45,44.01,106998563
2018-03-22,188.78,191.95,185.62,188.43,26712416,188.78,191.95,185.62,188.43,26712416,47.20,47.99,46.40,47.11,106849664
2018-03-23,188.48,190.53,186.42,187.57,23476917,188.48,190.53,186.42,187.57,23476917,47.12,47.63,46.61,46.89,93907668
2018-03-26,187.40,189.19,185.61,186.98,22946839,187.40,189.19,185.61,186.98,22946839,46.85,47.30,46.40,46.75,91787356
2018-03-27,189.15,190.24,188.05,189.50,16765025,189.15,190.24,188.05,189.50,16765025,47.29,47.56,47.01,47.37,67060101
2018-03-28,194.31,197.25,191.36,193.42,18085338,194.31,197.25,191.36,193.42,18085338,48.58,49.31,47.84,48.36,72341351
2018-03-29,191.37,193.59,189.14,191.09,22916947,191.37,193.59,189.14,191.09,22916947,47.84,48.40,47.29,47.77,91667790
2018-03-30,189.51,192.62,186.39,189.07,29390800,189.51,192.62,186.39,189.07,29390800,47.38,48.16,46.60,47.27,117563199
2018-04-02,182.95,184.74,181.16,182.38,21404700,182.95,184.74,181.16,182.38,21404700,45.74,46.19,45.29,45.60,85618800
2018-04-03,184.44,186.89,181.99,185.39,17452753,184.44,186.89,181.99,185.39,17452753,46.11,46.72,45.50,46.35,69811012
2018-04-04,183.08,185.61,180.54,184.01,24695436,183.08,185.61,180.54,184.01,24695436,45.77,46.40,45.14,46.00,98781744
2018-04-05,185.15,188.13,182.16,185.55,23974346,185.15,188.13,182.16,185.55,23974346,46.29,47.03,45.54,46.39,95897384
2018-04-06,180.07,182.41,177.73,180.68,15089103,180.07,182.41,177.73,180.68,15089103,45.02,45.60,44.43,45.17,60356413
2018-04-09,177.82,180.51,175.13,178.58,16330283,177.82,180.51,175.13,178.58,16330283,44.45,45.13,43.78,44.65,65321133
2018-04-10,168.21,169.52,166.89,168.36,20802758,168.21,169.52,166.89,168.36,20802758,42.05,42.38,41.72,42.09,83211032
2018-04-11,165.02,168.02,162.03,164.77,15548897,165.02,168.02,162.03,164.77,15548897,41.26,42.00,40.51,41.19,62195589
2018-04-12,168.30,170.04,166.55,169.23,24673068,168.30,170.04,166.55,169.23,24673068,42.07,42.51,41.64,42.31,98692271
2018-04-13,169.50,171.31,167.70,169.44,23588412,169.50,171.31,167.70,169.44,23588412,42.38,42.83,41.92,42.36,94353647
