Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,11.03,11.16,10.89,10.95,67254291,11.03,11.16,10.89,10.95,67254291,11.03,11.16,10.89,10.95,67254291
2018-01-03,10.99,11.14,10.84,10.97,46223529,10.99,11.14,10.84,10.97,46223529,10.99,11.14,10.84,10.97,46223529
2018-01-04,11.15,11.33,10.98,11.14,74088375,11.15,11.33,10.98,11.14,74088375,11.15,11.33,10.98,11.14,74088375
2018-01-05,10.92,11.05,10.78,10.91,40350815,10.92,11.05,10.78,10.91,40350815,10.92,11.05,10.78,10.91,40350815
2018-01-08,11.06,11.18,10.94,11.00,42973849,11.06,11.18,10.94,11.00,42973849,11.06,11.18,10.94,11.00,42973849
2018-01-09,10.94,11.01,10.88,10.90,45015364,10.94,11.01,10.88,10.90,45015364,10.94,11.01,10.88,10.90,45015364
2018-01-10,10.86,10.95,10.76,10.81,46034033,10.86,10.95,10.76,10.81,46034033,10.86,10.95,10.76,10.81,46034033
2018-01-11,10.85,10.94,10.76,10.86,45168335,10.85,10.94,10.76,10.86,45168335,10.85,10.94,10.76,10.86,45168335
2018-01-12,10.60,10.68,10.52,10.62,71627353,10.60,10.68,10.52,10.62,71627353,10.60,10.68,10.52,10.62,71627353
2018-01-15,10.67,10.82,10.52,10.66,50410836,10.67,10.82,10.52,10.66,50410836,10.67,10.82,10.52,10.66,50410836
2018-01-16,10.62,10.74,10.49,10.59,73828288,10.62,10.74,10.49,10.59,73828288,10.62,10.74,10.49,10.59,73828288
2018-01-17,10.71,10.83,10.59,10.68,73301269,10.71,10.83,10.59,10.68,73301269,10.71,10.83,10.59,10.68,73301269
2018-01-18,10.75,10.87,10.63,10.69,66190747,10.75,10.87,10.63,10.69,66190747,10.75,10.87,10.63,10.69,66190747
2018-01-19,10.43,10.55,10.31,10.37,41344848,10.43,10.55,10.31,10.37,41344848,10.43,10.55,10.31,10.37,41344848
2018-01-22,10.23,10.32,10.14,10.19,70798885,10.23,10.32,10.14,10.19,70798885,10.23,10.32,10.14,10.19,70798885
2018-01-23,10.08,10.19,9.97,10.05,69067473,10.08,10.19,9.97,10.05,69067473,10.08,10.19,9.97,10.05,69067473
2018-01-24,9.79,9.89,9.69,9.77,38839147,9.79,9.89,9.69,9.77,38839147,9.79,9.89,9.69,9.77,38839147
2018-01-25,9.54,9.66,9.42,9.52,44456215,9.54,9.66,9.42,9.52,44456215,9.54,9.66,9.42,9.52,44456215
2018-01-26,9.65,9.74,9.55,9.62,72788748,9.65,9.74,9.55,9.62,72788748,9.65,9.74,9.55,9.62,72788748
2018-01-29,9.79,9.92,9.67,9.80,52150985,9.79,9.92,9.67,9.80,52150985,9.79,9.92,9.67,9.80,52150985
2018-01-30,9.48,9.57,9.38,9.50,60159980,9.48,9.57,9.38,9.50,60159980,9.48,9.57,9.38,9.50,60159980
2018-01-31,9.29,9.37,9.21,9.30,69180379,9.29,9.37,9.21,9.30,69180379,9.29,9.37,9.21,9.30,69180379
2018-02-01,9.14,9.27,9.00,9.09,68213544,9.14,9.27,9.00,9.09,68213544,9.14,9.27,9.00,9.09,68213544
2018-02-02,8.96,9.05,8.87,9.02,45884484,8.96,9.05,8.87,9.02,45884484,8.96,9.05,8.87,9.02,45884484
2018-02-05,9.16,9.29,9.03,9.17,58578822,9.16,9.29,9.03,9.17,58578822,9.16,9.29,9.03,9.17,58578822
2018-02-06,9.28,9.40,9.16,9.27,68267391,9.28,9.40,9.16,9.27,68267391,9.28,9.40,9.16,9.27,68267391
2018-02-07,9.28,9.41,9.15,9.26,71996877,9.28,9.41,9.15,9.26,71996877,9.28,9.41,9.15,9.26,71996877
2018-02-08,9.42,9.52,9.32,9.40,71147041,9.42,9.52,9.32,9.40,71147041,9.42,9.52,9.32,9.40,71147041
2018-02-09,9.50,9.57,9.44,9.50,54101984,9.50,9.57,9.44,9.50,54101984,9.50,9.57,9.44,9.50,54101984
2018-02-12,9.63,9.82,9.44,9.66,40008792,9.63,9.82,9.44,9.66,40008792,9.63,9.82,9.44,9.66,40008792
2018-02-13,9.50,9.60,9.41,9.53,67913079,9.50,9.60,9.41,9.53,67913079,9.50,9.60,9.41,9.53,67913079
2018-02-14,9.84,9.93,9.75,9.81,50965360,9.84,9.93,9.75,9.81,50965360,9.84,9.93,9.75,9.81,50965360
2018-02-15,9.93,10.07,9.79,9.91,70262501,9.93,10.07,9.79,9.91,70262501,9.93,10.07,9.79,9.91,70262501
2018-02-16,10.32,10.52,10.11,10.24,40493044,10.32,10.52,10.11,10.24,40493044,10.32,10.52,10.11,10.24,40493044
2018-02-19,10.07,10.20,9.94,10.03,71920912,10.07,10.20,9.94,10.03,71920912,10.07,10.20,9.94,10.03,71920912
2018-02-20,10.12,10.20,10.04,10.11,63111609,10.12,10.20,10.04,10.11,63111609,10.12,10.20,10.04,10.11,63111609
2018-02-21,9.95,10.08,9.83,9.96,71728095,9.95,10.08,9.83,9.96,71728095,9.95,10.08,9.83,9.96,71728095
2018-02-22,10.30,10.50,10.11,10.31,55468941,10.30,10.50,10.11,10.31,55468941,10.30,10.50,10.11,10.31,55468941
2018-02-23,10.45,10.56,10.34,10.44,63749349,10.45,10.56,10.34,10.44,63749349,10.45,10.56,10.34,10.44,63749349
2018-02-26,10.23,10.28,10.17,10.25,49563259,10.23,10.28,10.17,10.25,49563259,10.23,10.28,10.17,10.25,49563259
2018-02-27,10.11,10.19,10.03,10.13,47749191,10.11,10.19,10.03,10.13,47749191,10.11,10.19,10.03,10.13,47749191
2018-02-28,10.34,10.43,10.26,10.35,73305376,10.34,10.43,10.26,10.35,73305376,10.34,10.43,10.26,10.35,73305376
2018-03-01,10.40,10.54,10.26,10.42,48370835,10.40,10.54,10.26,10.42,48370835,10.40,10.54,10.26,10.42,48370835
2018-03-02,10.29,10.39,10.20,10.35,55575515,10.29,10.39,10.20,10.35,55575515,10.29,10.39,10.20,10.35,55575515
2018-03-05,10.27,10.42,10.11,10.26,57471348,10.27,10.42,10.11,10.26,57471348,10.27,10.42,10.11,10.26,57471348
2018-03-06,10.16,10.29,10.03,10.19,53837244,10.16,10.29,10.03,10.19,53837244,10.16,10.29,10.03,10.19,53837244
2018-03-07,10.46,10.53,10.39,10.43,70454977,10.46,10.53,10.39,10.43,70454977,10.46,10.53,10.39,10.43,70454977
