Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,59.56,60.65,58.47,59.71,37203242,59.56,60.65,58.47,59.71,37203242,59.56,60.65,58.47,59.71,37203242
2018-01-03,60.55,60.94,60.16,60.20,34463537,60.55,60.94,60.16,60.20,34463537,60.55,60.94,60.16,60.20,34463537
2018-01-04,62.47,63.20,61.75,62.40,28716562,62.47,63.20,61.75,62.40,28716562,62.47,63.20,61.75,62.40,28716562
2018-01-05,62.53,63.37,61.69,62.48,31719870,62.53,63.37,61.69,62.48,31719870,62.53,63.37,61.69,62.48,31719870
2018-01-08,63.65,64.05,63.24,63.40,53353900,63.65,64.05,63.24,63.40,53353900,63.65,64.05,63.24,63.40,53353900
2018-01-09,64.18,64.73,63.63,63.98,46266475,64.18,64.73,63.63,63.98,46266475,64.18,64.73,63.63,63.98,46266475
2018-01-10,62.23,63.30,61.17,62.34,44376791,62.23,63.30,61.17,62.34,44376791,62.23,63.30,61.17,62.34,44376791
2018-01-11,62.73,63.38,62.08,62.98,51319771,62.73,63.38,62.08,62.98,51319771,62.73,63.38,62.08,62.98,51319771
2018-01-12,63.42,64.10,62.74,63.35,33053301,63.42,64.10,62.74,63.35,33053301,63.42,64.10,62.74,63.35,33053301
2018-01-15,62.88,63.38,62.38,63.11,48649383,62.88,63.38,62.38,63.11,48649383,62.88,63.38,62.38,63.11,48649383
2018-01-16,63.14,63.74,62.54,62.88,34187146,63.14,63.74,62.54,62.88,34187146,63.14,63.74,62.54,62.88,34187146
2018-01-17,60.60,60.99,60.22,60.70,46645968,60.60,60.99,60.22,60.70,46645968,60.60,60.99,60.22,60.70,46645968
2018-01-18,62.43,63.12,61.73,62.38,35266653,62.43,63.12,61.73,62.38,35266653,62.43,63.12,61.73,62.38,35266653
2018-01-19,60.15,60.93,59.37,60.20,32856950,60.15,60.93,59.37,60.20,32856950,60.15,60.93,59.37,60.20,32856950
2018-01-22,59.84,60.47,59.21,59.82,37439442,59.84,60.47,59.21,59.82,37439442,59.84,60.47,59.21,59.82,37439442
2018-01-23,59.17,59.88,58.46,59.36,34259047,59.17,59.88,58.46,59.36,34259047,59.17,59.88,58.46,59.36,34259047
2018-01-24,60.97,61.97,59.97,60.95,48948866,60.97,61.97,59.97,60.95,48948866,60.97,61.97,59.97,60.95,48948866
2018-01-25,62.67,63.78,61.56,62.40,28975867,62.67,63.78,61.56,62.40,28975867,62.67,63.78,61.56,62.40,28975867
2018-01-26,62.58,63.45,61.70,62.53,54021805,62.58,63.45,61.70,62.53,54021805,62.58,63.45,61.70,62.53,54021805
2018-01-29,62.90,63.29,62.52,62.69,44319029,62.90,63.29,62.52,62.69,44319029,62.90,63.29,62.52,62.69,44319029
2018-01-30,61.77,62.59,60.94,61.64,45779967,61.77,62.59,60.94,61.64,45779967,61.77,62.59,60.94,61.64,45779967
2018-01-31,62.24,62.93,61.55,61.98,54689658,62.24,62.93,61.55,61.98,54689658,62.24,62.93,61.55,61.98,54689658
2018-02-01,61.94,62.66,61.22,62.06,48570832,61.94,62.66,61.22,62.06,48570832,61.94,62.66,61.22,62.06,48570832
2018-02-02,63.16,64.26,62.07,62.83,47598101,63.16,64.26,62.07,62.83,47598101,63.16,64.26,62.07,62.83,47598101
2018-02-05,65.90,66.53,65.28,65.78,42649777,65.90,66.53,65.28,65.78,42649777,65.90,66.53,65.28,65.78,42649777
2018-02-06,67.14,67.63,66.66,66.86,33885746,67.14,67.63,66.66,66.86,33885746,67.14,67.63,66.66,66.86,33885746
2018-02-07,67.18,67.55,66.81,66.89,33846572,67.18,67.55,66.81,66.89,33846572,67.18,67.55,66.81,66.89,33846572
2018-02-08,64.85,65.70,64.01,64.82,32818017,64.85,65.70,64.01,64.82,32818017,64.85,65.70,64.01,64.82,32818017
2018-02-09,65.41,65.98,64.84,65.21,40813983,65.41,65.98,64.84,65.21,40813983,65.41,65.98,64.84,65.21,40813983
2018-02-12,65.98,66.91,65.05,65.66,53652562,65.98,66.91,65.05,65.66,53652562,65.98,66.91,65.05,65.66,53652562
2018-02-13,65.23,66.03,64.44,65.42,39928920,65.23,66.03,64.44,65.42,39928920,65.23,66.03,64.44,65.42,39928920
2018-02-14,65.40,66.13,64.68,65.66,53530009,65.40,66.13,64.68,65.66,53530009,65.40,66.13,64.68,65.66,53530009
2018-02-15,67.24,68.09,66.39,67.35,39344435,67.24,68.09,66.39,67.35,39344435,67.24,68.09,66.39,67.35,39344435
2018-02-16,66.22,66.86,65.58,66.09,43400606,66.22,66.86,65.58,66.09,43400606,66.22,66.86,65.58,66.09,43400606
2018-02-19,66.07,66.42,65.73,65.75,40340735,66.07,66.42,65.73,65.75,40340735,66.07,66.42,65.73,65.75,40340735
2018-02-20,65.15,65.67,64.64,65.25,33073448,65.15,65.67,64.64,65.25,33073448,65.15,65.67,64.64,65.25,33073448
2018-02-21,65.27,65.88,64.65,65.02,55110627,65.27,65.88,64.65,65.02,55110627,65.27,65.88,64.65,65.02,55110627
2018-02-22,67.20,67.90,66.50,67.17,35382486,67.20,67.90,66.50,67.17,35382486,67.20,67.90,66.50,67.17,35382486
2018-02-23,65.01,65.70,64.31,65.19,38106153,65.01,65.70,64.31,65.19,38106153,65.01,65.70,64.31,65.19,38106153
2018-02-26,65.35,66.24,64.47,64.97,50227340,65.35,66.24,64.47,64.97,50227340,65.35,66.24,64.47,64.97,50227340
2018-02-27,65.48,65.93,65.02,65.31,35411896,65.48,65.93,65.02,65.31,35411896,65.48,65.93,65.02,65.31,35411896
2018-02-28,65.41,66.04,64.78,65.30,35151380,65.41,66.04,64.78,65.30,35151380,65.41,66.04,64.78,65.30,35151380
2018-03-01,66.48,67.02,65.94,66.83,46994564,66.48,67.02,65.94,66.83,46994564,66.48,67.02,65.94,66.83,46994564
2018-03-02,69.04,69.51,68.57,68.68,38044700,69.04,69.51,68.57,68.68,38044700,69.04,69.51,68.57,68.68,38044700
2018-03-05,68.19,68.82,67.57,68.24,39729594,68.19,68.82,67.57,68.24,39729594,68.19,68.82,67.57,68.24,39729594
2018-03-06,68.32,68.89,67.75,68.37,55119589,68.32,68.89,67.75,68.37,55119589,68.32,68.89,67.75,68.37,55119589
2018-03-07,69.57,70.47,68.67,69.33,48118939,69.57,70.47,68.67,69.33,48118939,69.57,70.47,68.67,69.33,48118939
2018-03-08,70.37,71.09,69.66,70.02,28394215,70.37,71.09,69.66,70.02,28394215,70.37,71.09,69.66,70.02,28394215
2018-03-09,69.71,70.30,69.13,69.82,42638169,69.71,70.30,69.13,69.82,42638169,69.71,70.30,69.13,69.82,42638169
2018-03-12,69.39,70.06,68.72,69.50,33068334,69.39,70.06,68.72,69.50,33068334,69.39,70.06,68.72,69.50,33068334
2018-03-13,71.80,72.80,70.81,71.54,49979488,71.80,72.80,70.81,71.54,49979488,71.80,72.80,70.81,71.54,49979488
2018-03-14,71.19,71.82,70.56,71.02,37142316,71.19,71.82,70.56,71.02,37142316,71.19,71.82,70.56,71.02,37142316
2018-03-15,71.88,72.68,71.07,71.93,28924989,71.88,72.68,71.07,71.93,28924989,71.88,72.68,71.07,71.93,28924989
