Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,180.96,182.97,178.94,180.47,29445493,180.96,182.97,178.94,180.47,29445493,180.96,182.97,178.94,180.47,29445493
2018-01-03,181.28,183.65,178.91,181.41,20769345,181.28,183.65,178.91,181.41,20769345,181.28,183.65,178.91,181.41,20769345
2018-01-04,187.81,190.05,185.57,187.57,21303940,187.81,190.05,185.57,187.57,21303940,187.81,190.05,185.57,187.57,21303940
2018-01-05,193.83,196.05,191.60,192.95,23587596,193.83,196.05,191.60,192.95,23587596,193.83,196.05,191.60,192.95,23587596
2018-01-08,195.96,197.78,194.14,195.84,17656149,195.96,197.78,194.14,195.84,17656149,195.96,197.78,194.14,195.84,17656149
2018-01-09,199.08,201.68,196.48,199.40,22822042,199.08,201.68,196.48,199.40,22822042,199.08,201.68,196.48,199.40,22822042
2018-01-10,201.72,203.86,199.59,201.75,30292693,201.72,203.86,199.59,201.75,30292693,201.72,203.86,199.59,201.75,30292693
2018-01-11,194.71,196.13,193.28,194.45,23766083,194.71,196.13,193.28,194.45,23766083,194.71,196.13,193.28,194.45,23766083
2018-01-12,199.28,201.18,197.38,198.28,25309297,199.28,201.18,197.38,198.28,25309297,199.28,201.18,197.38,198.28,25309297
2018-01-15,199.31,201.81,196.80,198.90,32158207,199.31,201.81,196.80,198.90,32158207,199.31,201.81,196.80,198.90,32158207
2018-01-16,202.19,205.00,199.39,201.67,28470354,202.19,205.00,199.39,201.67,28470354,202.19,205.00,199.39,201.67,28470354
2018-01-17,203.24,204.94,201.53,203.30,25568084,203.24,204.94,201.53,203.30,25568084,203.24,204.94,201.53,203.30,25568084
2018-01-18,204.27,207.16,201.39,203.95,25645589,204.27,207.16,201.39,203.95,25645589,204.27,207.16,201.39,203.95,25645589
2018-01-19,200.21,203.48,196.93,200.09,34711978,200.21,203.48,196.93,200.09,34711978,200.21,203.48,196.93,200.09,34711978
2018-01-22,203.67,206.61,200.72,203.98,25358889,203.67,206.61,200.72,203.98,25358889,203.67,206.61,200.72,203.98,25358889
2018-01-23,199.51,201.24,197.79,198.46,27417234,199.51,201.24,197.79,198.46,27417234,199.51,201.24,197.79,198.46,27417234
2018-01-24,195.55,197.80,193.30,195.41,22119856,195.55,197.80,193.30,195.41,22119856,195.55,197.80,193.30,195.41,22119856
2018-01-25,197.12,199.31,194.92,198.05,26352480,197.12,199.31,194.92,198.05,26352480,197.12,199.31,194.92,198.05,26352480
2018-01-26,201.69,203.13,200.26,201.06,31700977,201.69,203.13,200.26,201.06,31700977,201.69,203.13,200.26,201.06,31700977
2018-01-29,204.17,206.55,201.80,202.38,25473312,204.17,206.55,201.80,202.38,25473312,204.17,206.55,201.80,202.38,25473312
2018-01-30,207.01,209.41,204.62,205.61,17774316,207.01,209.41,204.62,205.61,17774316,207.01,209.41,204.62,205.61,17774316
2018-01-31,212.77,215.87,209.68,212.36,18991530,212.77,215.87,209.68,212.36,18991530,212.77,215.87,209.68,212.36,18991530
2018-02-01,207.27,210.12,204.41,207.85,29167365,207.27,210.12,204.41,207.85,29167365,207.27,210.12,204.41,207.85,29167365
2018-02-02,209.86,211.52,208.21,209.87,31399693,209.86,211.52,208.21,209.87,31399693,209.86,211.52,208.21,209.87,31399693
2018-02-05,204.68,207.06,202.29,204.17,25109015,204.68,207.06,202.29,204.17,25109015,204.68,207.06,202.29,204.17,25109015
2018-02-06,206.06,208.18,203.93,204.86,27099291,206.06,208.18,203.93,204.86,27099291,206.06,208.18,203.93,204.86,27099291
2018-02-07,204.77,208.15,201.38,204.23,17859173,204.77,208.15,201.38,204.23,17859173,204.77,208.15,201.38,204.23,17859173
2018-02-08,204.27,206.37,202.17,205.21,22386844,204.27,206.37,202.17,205.21,22386844,204.27,206.37,202.17,205.21,22386844
2018-02-09,207.87,209.56,206.17,207.61,19194895,207.87,209.56,206.17,207.61,19194895,207.87,209.56,206.17,207.61,19194895
2018-02-12,207.76,210.38,205.14,207.06,31805891,207.76,210.38,205.14,207.06,31805891,207.76,210.38,205.14,207.06,31805891
2018-02-13,205.69,208.59,202.80,205.30,24813687,205.69,208.59,202.80,205.30,24813687,205.69,208.59,202.80,205.30,24813687
2018-02-14,199.09,200.96,197.23,199.24,34502828,199.09,200.96,197.23,199.24,34502828,199.09,200.96,197.23,199.24,34502828
2018-02-15,196.57,198.95,194.19,196.14,25177644,196.57,198.95,194.19,196.14,25177644,196.57,198.95,194.19,196.14,25177644
2018-02-16,191.57,194.52,188.62,190.02,21541825,191.57,194.52,188.62,190.02,21541825,191.57,194.52,188.62,190.02,21541825
2018-02-19,188.49,190.64,186.33,188.23,20154831,188.49,190.64,186.33,188.23,20154831,188.49,190.64,186.33,188.23,20154831
2018-02-20,188.45,190.63,186.28,188.45,34728926,188.45,190.63,186.28,188.45,34728926,188.45,190.63,186.28,188.45,34728926
2018-02-21,191.69,194.14,189.24,192.03,23038998,191.69,194.14,189.24,192.03,23038998,191.69,194.14,189.24,192.03,23038998
2018-02-22,182.66,184.60,180.72,183.58,21405477,182.66,184.60,180.72,183.58,21405477,182.66,184.60,180.72,183.58,21405477
2018-02-23,187.35,188.69,186.01,187.27,33340500,187.35,188.69,186.01,187.27,33340500,187.35,188.69,186.01,187.27,33340500
2018-02-26,184.53,186.96,182.10,184.14,33446456,184.53,186.96,182.10,184.14,33446456,184.53,186.96,182.10,184.14,33446456
2018-02-27,190.92,194.46,187.38,189.90,28297580,190.92,194.46,187.38,189.90,28297580,190.92,194.46,187.38,189.90,28297580
2018-02-28,191.09,192.65,189.53,191.26,31311163,191.09,192.65,189.53,191.26,31311163,191.09,192.65,189.53,191.26,31311163
2018-03-01,193.40,194.41,192.39,192.71,28227262,193.40,194.41,192.39,192.71,28227262,193.40,194.41,192.39,192.71,28227262
2018-03-02,194.83,197.50,192.17,194.81,18184201,194.83,197.50,192.17,194.81,18184201,194.83,197.50,192.17,194.81,18184201
2018-03-05,200.76,203.26,198.27,200.38,31398512,200.76,203.26,198.27,200.38,31398512,200.76,203.26,198.27,200.38,31398512
2018-03-06,202.05,204.25,199.86,202.88,20207741,202.05,204.25,199.86,202.88,20207741,202.05,204.25,199.86,202.88,20207741
2018-03-07,200.25,203.19,197.31,200.03,31308698,200.25,203.19,197.31,200.03,31308698,200.25,203.19,197.31,200.03,31308698
2018-03-08,196.12,198.84,193.40,195.56,21200257,196.12,198.84,193.40,195.56,21200257,196.12,198.84,193.40,195.56,21200257
2018-03-09,197.72,199.32,196.11,198.25,17681678,197.72,199.32,196.11,198.25,17681678,197.72,199.32,196.11,198.25,17681678
2018-03-12,203.33,206.35,200.31,202.91,22339513,203.33,206.35,200.31,202.91,22339513,203.33,206.35,200.31,202.91,22339513
2018-03-13,203.04,204.88,201.19,203.13,17811812,203.04,204.88,201.19,203.13,17811812,203.04,204.88,201.19,203.13,17811812
2018-03-14,201.93,203.19,200.66,201.32,19454853,201.93,203.19,200.66,201.32,19454853,201.93,203.19,200.66,201.32,19454853
2018-03-15,201.94,203.94,199.94,201.69,20918988,201.94,203.94,199.94,201.69,20918988,201.94,203.94,199.94,201.69,20918988
