Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,85.35,86.32,84.38,84.85,30228773,85.35,86.32,84.38,84.85,30228773,85.35,86.32,84.38,84.85,30228773
2018-01-03,83.98,84.41,83.54,84.34,35251862,83.98,84.41,83.54,84.34,35251862,83.98,84.41,83.54,84.34,35251862
2018-01-04,84.99,86.18,83.81,85.19,23296474,84.99,86.18,83.81,85.19,23296474,84.99,86.18,83.81,85.19,23296474
2018-01-05,85.86,86.22,85.49,85.90,32959130,85.86,86.22,85.49,85.90,32959130,85.86,86.22,85.49,85.90,32959130
2018-01-08,86.56,87.55,85.57,86.99,23626867,86.56,87.55,85.57,86.99,23626867,86.56,87.55,85.57,86.99,23626867
2018-01-09,87.68,88.44,86.92,87.32,40873952,87.68,88.44,86.92,87.32,40873952,87.68,88.44,86.92,87.32,40873952
2018-01-10,84.42,85.31,83.53,84.66,38575484,84.42,85.31,83.53,84.66,38575484,84.42,85.31,83.53,84.66,38575484
2018-01-11,85.32,86.12,84.53,84.99,38232105,85.32,86.12,84.53,84.99,38232105,85.32,86.12,84.53,84.99,38232105
2018-01-12,83.50,84.27,82.72,83.60,32767322,83.50,84.27,82.72,83.60,32767322,83.50,84.27,82.72,83.60,32767322
2018-01-15,79.85,80.83,78.87,80.20,33866371,79.85,80.83,78.87,80.20,33866371,79.85,80.83,78.87,80.20,33866371
2018-01-16,82.89,83.98,81.80,82.08,22777624,82.89,83.98,81.80,82.08,22777624,82.89,83.98,81.80,82.08,22777624
2018-01-17,83.40,84.18,82.63,83.30,31504157,83.40,84.18,82.63,83.30,31504157,83.40,84.18,82.63,83.30,31504157
2018-01-18,84.51,85.48,83.53,84.12,29497729,84.51,85.48,83.53,84.12,29497729,84.51,85.48,83.53,84.12,29497729
2018-01-19,85.88,86.47,85.29,85.97,22285550,85.88,86.47,85.29,85.97,22285550,85.88,86.47,85.29,85.97,22285550
2018-01-22,86.51,87.31,85.71,86.27,38422520,86.51,87.31,85.71,86.27,38422520,86.51,87.31,85.71,86.27,38422520
2018-01-23,87.73,88.77,86.68,87.61,29587472,87.73,88.77,86.68,87.61,29587472,87.73,88.77,86.68,87.61,29587472
2018-01-24,87.70,88.93,86.48,86.99,24961277,87.70,88.93,86.48,86.99,24961277,87.70,88.93,86.48,86.99,24961277
2018-01-25,91.00,92.92,89.07,90.38,38022681,91.00,92.92,89.07,90.38,38022681,91.00,92.92,89.07,90.38,38022681
2018-01-26,92.14,93.51,90.78,91.85,31506408,92.14,93.51,90.78,91.85,31506408,92.14,93.51,90.78,91.85,31506408
2018-01-29,91.11,92.00,90.22,90.96,32388299,91.11,92.00,90.22,90.96,32388299,91.11,92.00,90.22,90.96,32388299
2018-01-30,91.35,92.59,90.11,91.78,40249505,91.35,92.59,90.11,91.78,40249505,91.35,92.59,90.11,91.78,40249505
2018-01-31,92.95,94.49,91.41,92.90,29281164,92.95,94.49,91.41,92.90,29281164,92.95,94.49,91.41,92.90,29281164
2018-02-01,96.13,97.67,94.60,96.33,31959108,96.13,97.67,94.60,96.33,31959108,96.13,97.67,94.60,96.33,31959108
2018-02-02,95.47,96.82,94.12,95.44,39790002,95.47,96.82,94.12,95.44,39790002,95.47,96.82,94.12,95.44,39790002
2018-02-05,93.83,95.18,92.47,93.81,27723805,93.83,95.18,92.47,93.81,27723805,93.83,95.18,92.47,93.81,27723805
2018-02-06,93.92,94.84,92.99,94.20,34120703,93.92,94.84,92.99,94.20,34120703,93.92,94.84,92.99,94.20,34120703
2018-02-07,92.57,93.22,91.91,92.40,39940238,92.57,93.22,91.91,92.40,39940238,92.57,93.22,91.91,92.40,39940238
2018-02-08,91.48,92.02,90.93,91.58,30416565,91.48,92.02,90.93,91.58,30416565,91.48,92.02,90.93,91.58,30416565
2018-02-09,93.46,94.28,92.64,93.55,39081701,93.46,94.28,92.64,93.55,39081701,93.46,94.28,92.64,93.55,39081701
2018-02-12,94.16,94.97,93.35,94.40,35503078,94.16,94.97,93.35,94.40,35503078,94.16,94.97,93.35,94.40,35503078
