Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,223.85,225.03,222.67,222.85,1782354,223.85,225.03,222.67,222.85,1782354,223.85,225.03,222.67,222.85,1782354
2018-01-03,217.64,218.98,216.30,218.66,1110997,217.64,218.98,216.30,218.66,1110997,217.64,218.98,216.30,218.66,1110997
2018-01-04,220.66,222.49,218.83,220.50,1355386,220.66,222.49,218.83,220.50,1355386,220.66,222.49,218.83,220.50,1355386
2018-01-05,222.04,225.19,218.89,220.70,1096313,222.04,225.19,218.89,220.70,1096313,222.04,225.19,218.89,220.70,1096313
2018-01-08,218.23,221.32,215.15,218.03,1406555,218.23,221.32,215.15,218.03,1406555,218.23,221.32,215.15,218.03,1406555
2018-01-09,222.46,224.83,220.08,223.19,1280714,222.46,224.83,220.08,223.19,1280714,222.46,224.83,220.08,223.19,1280714
2018-01-10,222.46,224.47,220.46,222.49,1060294,222.46,224.47,220.46,222.49,1060294,222.46,224.47,220.46,222.49,1060294
2018-01-11,218.38,220.83,215.93,218.91,1804207,218.38,220.83,215.93,218.91,1804207,218.38,220.83,215.93,218.91,1804207
2018-01-12,215.00,218.03,211.97,214.89,1825654,215.00,218.03,211.97,214.89,1825654,215.00,218.03,211.97,214.89,1825654
2018-01-15,213.53,216.90,210.16,213.93,1748817,213.53,216.90,210.16,213.93,1748817,213.53,216.90,210.16,213.93,1748817
2018-01-16,219.91,223.14,216.68,220.42,1120686,219.91,223.14,216.68,220.42,1120686,219.91,223.14,216.68,220.42,1120686
2018-01-17,226.81,229.68,223.94,225.97,2051111,226.81,229.68,223.94,225.97,2051111,226.81,229.68,223.94,225.97,2051111
2018-01-18,224.90,226.95,222.85,223.80,1734743,224.90,226.95,222.85,223.80,1734743,224.90,226.95,222.85,223.80,1734743
2018-01-19,222.17,224.99,219.35,221.88,1953681,222.17,224.99,219.35,221.88,1953681,222.17,224.99,219.35,221.88,1953681
2018-01-22,210.76,213.53,207.98,212.40,1316927,210.76,213.53,207.98,212.40,1316927,210.76,213.53,207.98,212.40,1316927
2018-01-23,218.70,221.26,216.13,216.82,1266581,218.70,221.26,216.13,216.82,1266581,218.70,221.26,216.13,216.82,1266581
2018-01-24,226.64,229.29,223.98,224.45,1643621,226.64,229.29,223.98,224.45,1643621,226.64,229.29,223.98,224.45,1643621
