Date,Open,High,Low,Close,Volume,UnadjustedOpen,UnadjustedHigh,UnadjustedLow,UnadjustedClose,UnadjustedVolume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume
2018-01-02,81.66,82.58,80.73,81.58,21432813,81.66,82.58,80.73,81.58,21432813,81.66,82.58,80.73,81.58,21432813
2018-01-03,80.82,82.07,79.56,80.48,25162934,80.82,82.07,79.56,80.48,25162934,80.82,82.07,79.56,80.48,25162934
2018-01-04,82.87,83.68,82.06,82.54,16662799,82.87,83.68,82.06,82.54,16662799,82.87,83.68,82.06,82.54,16662799
2018-01-05,84.63,85.68,83.57,85.19,17539169,84.63,85.68,83.57,85.19,17539169,84.63,85.68,83.57,85.19,17539169
2018-01-08,84.55,85.85,83.24,84.46,20434326,84.55,85.85,83.24,84.46,20434326,84.55,85.85,83.24,84.46,20434326
2018-01-09,84.97,85.79,84.16,85.00,21187814,84.97,85.79,84.16,85.00,21187814,84.97,85.79,84.16,85.00,21187814
2018-01-10,84.65,86.20,83.11,84.25,14834004,84.65,86.20,83.11,84.25,14834004,84.65,86.20,83.11,84.25,14834004
2018-01-11,82.56,83.58,81.55,82.71,17637435,82.56,83.58,81.55,82.71,17637435,82.56,83.58,81.55,82.71,17637435
2018-01-12,82.61,82.96,82.25,82.59,21443154,82.61,82.96,82.25,82.59,21443154,82.61,82.96,82.25,82.59,21443154
2018-01-15,83.68,84.59,82.77,84.21,16541333,83.68,84.59,82.77,84.21,16541333,83.68,84.59,82.77,84.21,16541333
2018-01-16,83.69,84.96,82.42,83.28,13656644,83.69,84.96,82.42,83.28,13656644,83.69,84.96,82.42,83.28,13656644
2018-01-17,86.32,86.95,85.68,86.04,24502255,86.32,86.95,85.68,86.04,24502255,86.32,86.95,85.68,86.04,24502255
2018-01-18,87.09,87.25,86.93,86.95,21373789,87.09,87.25,86.93,86.95,21373789,87.09,87.25,86.93,86.95,21373789
2018-01-19,88.06,89.63,86.49,87.39,15247958,88.06,89.63,86.49,87.39,15247958,88.06,89.63,86.49,87.39,15247958
2018-01-22,88.43,89.72,87.14,88.51,21638818,88.43,89.72,87.14,88.51,21638818,88.43,89.72,87.14,88.51,21638818
2018-01-23,87.27,88.41,86.13,87.53,25121364,87.27,88.41,86.13,87.53,25121364,87.27,88.41,86.13,87.53,25121364
2018-01-24,89.63,90.24,89.03,89.39,16842030,89.63,90.24,89.03,89.39,16842030,89.63,90.24,89.03,89.39,16842030
2018-01-25,88.49,89.34,87.64,88.41,17185945,88.49,89.34,87.64,88.41,17185945,88.49,89.34,87.64,88.41,17185945
2018-01-26,88.30,88.99,87.60,88.45,24670870,88.30,88.99,87.60,88.45,24670870,88.30,88.99,87.60,88.45,24670870
2018-01-29,87.65,88.33,86.97,87.69,16445479,87.65,88.33,86.97,87.69,16445479,87.65,88.33,86.97,87.69,16445479
2018-01-30,86.72,88.17,85.27,86.69,15883062,86.72,88.17,85.27,86.69,15883062,86.72,88.17,85.27,86.69,15883062
2018-01-31,85.85,86.63,85.07,85.91,14793289,85.85,86.63,85.07,85.91,14793289,85.85,86.63,85.07,85.91,14793289
2018-02-01,85.54,86.06,85.01,85.66,17394146,85.54,86.06,85.01,85.66,17394146,85.54,86.06,85.01,85.66,17394146
2018-02-02,87.46,87.93,86.98,87.34,17684155,87.46,87.93,86.98,87.34,17684155,87.46,87.93,86.98,87.34,17684155
2018-02-05,88.48,89.92,87.04,88.73,19980004,88.48,89.92,87.04,88.73,19980004,88.48,89.92,87.04,88.73,19980004
2018-02-06,87.15,87.83,86.47,87.17,15367177,87.15,87.83,86.47,87.17,15367177,87.15,87.83,86.47,87.17,15367177
2018-02-07,89.44,90.66,88.21,89.51,16495975,89.44,90.66,88.21,89.51,16495975,89.44,90.66,88.21,89.51,16495975
2018-02-08,88.88,89.64,88.12,88.54,24510724,88.88,89.64,88.12,88.54,24510724,88.88,89.64,88.12,88.54,24510724
2018-02-09,89.33,89.40,89.26,89.31,15300877,89.33,89.40,89.26,89.31,15300877,89.33,89.40,89.26,89.31,15300877
2018-02-12,86.21,86.86,85.57,85.88,21985217,86.21,86.86,85.57,85.88,21985217,86.21,86.86,85.57,85.88,21985217
2018-02-13,86.33,86.81,85.86,86.24,19519471,86.33,86.81,85.86,86.24,19519471,86.33,86.81,85.86,86.24,19519471
2018-02-14,88.30,89.61,86.98,88.68,16800222,88.30,89.61,86.98,88.68,16800222,88.30,89.61,86.98,88.68,16800222
2018-02-15,89.66,90.17,89.15,89.20,23853856,89.66,90.17,89.15,89.20,23853856,89.66,90.17,89.15,89.20,23853856
2018-02-16,92.14,93.20,91.08,92.20,17115491,92.14,93.20,91.08,92.20,17115491,92.14,93.20,91.08,92.20,17115491
2018-02-19,92.43,93.83,91.02,92.18,17991747,92.43,93.83,91.02,92.18,17991747,92.43,93.83,91.02,92.18,17991747
2018-02-20,89.93,90.68,89.18,90.03,15839943,89.93,90.68,89.18,90.03,15839943,89.93,90.68,89.18,90.03,15839943
2018-02-21,90.60,91.67,89.54,90.89,21410712,90.60,91.67,89.54,90.89,21410712,90.60,91.67,89.54,90.89,21410712
2018-02-22,92.21,92.85,91.57,91.99,21506654,92.21,92.85,91.57,91.99,21506654,92.21,92.85,91.57,91.99,21506654
2018-02-23,91.78,92.66,90.91,91.66,20986361,91.78,92.66,90.91,91.66,20986361,91.78,92.66,90.91,91.66,20986361
2018-02-26,93.09,93.97,92.21,93.02,21933286,93.09,93.97,92.21,93.02,21933286,93.09,93.97,92.21,93.02,21933286
2018-02-27,92.81,94.12,91.50,93.60,20787390,92.81,94.12,91.50,93.60,20787390,92.81,94.12,91.50,93.60,20787390
2018-02-28,95.72,96.83,94.61,95.90,19596066,95.72,96.83,94.61,95.90,19596066,95.72,96.83,94.61,95.90,19596066
2018-03-01,93.58,94.36,92.80,93.76,24853570,93.58,94.36,92.80,93.76,24853570,93.58,94.36,92.80,93.76,24853570
2018-03-02,93.04,94.07,92.01,93.32,21623173,93.04,94.07,92.01,93.32,21623173,93.04,94.07,92.01,93.32,21623173
2018-03-05,95.07,95.82,94.32,95.07,12627554,95.07,95.82,94.32,95.07,12627554,95.07,95.82,94.32,95.07,12627554
2018-03-06,96.65,97.32,95.98,96.63,20394544,96.65,97.32,95.98,96.63,20394544,96.65,97.32,95.98,96.63,20394544
2018-03-07,99.09,99.74,98.44,98.51,14849305,99.09,99.74,98.44,98.51,14849305,99.09,99.74,98.44,98.51,14849305
2018-03-08,97.02,97.45,96.59,97.05,25136029,97.02,97.45,96.59,97.05,25136029,97.02,97.45,96.59,97.05,25136029
2018-03-09,99.32,100.43,98.21,99.43,12899429,99.32,100.43,98.21,99.43,12899429,99.32,100.43,98.21,99.43,12899429
2018-03-12,100.33,101.36,99.31,99.83,19973820,100.33,101.36,99.31,99.83,19973820,100.33,101.36,99.31,99.83,19973820
2018-03-13,101.44,103.17,99.71,101.08,24208282,101.44,103.17,99.71,101.08,24208282,101.44,103.17,99.71,101.08,24208282
2018-03-14,101.55,102.52,100.58,101.35,19033190,101.55,102.52,100.58,101.35,19033190,101.55,102.52,100.58,101.35,19033190
2018-03-15,100.50,101.68,99.32,100.55,13509862,100.50,101.68,99.32,100.55,13509862,100.50,101.68,99.32,100.55,13509862
