ticker,event_date,timing,announcement_time,source
AAPL,2019-01-29,AMC,2019-01-29 16:30:00,ZACKS
AAPL,2019-04-30,AMC,2019-04-30 16:30:00,ZACKS
AAPL,2019-07-30,AMC,2019-07-30 16:30:00,ZACKS
AAPL,2019-10-30,AMC,2019-10-30 16:30:00,ZACKS
AAPL,2020-04-30,AMC,2020-04-30 16:30:00,ZACKS
AAPL,2020-07-30,AMC,2020-07-30 16:30:00,ZACKS
AAPL,2020-10-29,AMC,2020-10-29 16:30:00,ZACKS
AAPL,2021-01-27,AMC,2021-01-27 16:30:00,ZACKS
AAPL,2021-04-28,AMC,2021-04-28 16:30:00,ZACKS
AAPL,2021-07-27,AMC,2021-07-27 16:30:00,ZACKS
AAPL,2022-04-28,AMC,2022-04-28 16:30:00,ZACKS
AAPL,2023-02-02,AMC,2023-02-02 16:30:00,ZACKS
AAPL,2023-05-04,AMC,2023-05-04 16:30:00,ZACKS
TSLA,2019-10-23,AMC,2019-10-23 16:30:00,ZACKS
TSLA,2020-01-29,AMC,2020-01-29 16:30:00,ZACKS
TSLA,2020-04-29,AMC,2020-04-29 16:30:00,ZACKS
TSLA,2020-07-22,AMC,2020-07-22 16:30:00,ZACKS
TSLA,2020-10-21,AMC,2020-10-21 16:30:00,ZACKS
TSLA,2021-01-27,BMO,2021-01-27 07:15:00,ZACKS
TSLA,2021-04-26,AMC,2021-04-26 16:30:00,ZACKS
TSLA,2021-10-20,AMC,2021-10-20 16:30:00,ZACKS
TSLA,2023-01-25,AMC,2023-01-25 16:30:00,ZACKS
NVDA,2020-05-21,AMC,2020-05-21 16:30:00,ZACKS
NVDA,2020-08-19,AMC,2020-08-19 16:30:00,ZACKS
NVDA,2021-05-26,AMC,2021-05-26 16:30:00,ZACKS
NVDA,2023-02-22,AMC,2023-02-22 16:30:00,ZACKS
NVDA,2023-05-24,AMC,2023-05-24 16:30:00,ZACKS
AMD,2020-07-28,AMC,2020-07-28 16:30:00,ZACKS
AMD,2021-07-27,AMC,2021-07-27 16:30:00,ZACKS
