DateTime,Open,High,Low,Close,Volume
2020-07-29 09:30:00,68.00,69.00,67.50,68.50,35000
2020-07-29 09:31:00,68.50,68.70,68.00,68.20,35000
2020-07-29 09:32:00,68.20,69.50,68.00,69.00,35000
2020-07-29 09:33:00,69.00,70.00,68.80,69.80,35000
2020-07-29 09:34:00,69.80,70.00,69.50,69.90,35000
2020-07-29 09:35:00,69.90,70.00,69.65,69.85,20000
2020-07-29 09:36:00,69.85,70.31,69.80,70.21,65000
2020-07-29 09:37:00,70.02,70.52,69.72,70.22,15000
2020-07-29 09:38:00,70.04,70.54,69.74,70.24,15000
2020-07-29 09:39:00,70.05,70.55,69.75,70.25,15000
2020-07-29 09:40:00,70.07,70.57,69.77,70.27,15000
2020-07-29 09:41:00,70.09,70.59,69.79,70.29,15000
2020-07-29 09:42:00,70.11,70.61,69.81,70.31,15000
2020-07-29 09:43:00,70.12,70.62,69.82,70.32,15000
2020-07-29 09:44:00,70.14,70.64,69.84,70.34,15000
2020-07-29 09:45:00,70.16,70.66,69.86,70.36,15000
2020-07-29 09:46:00,70.18,70.68,69.88,70.38,15000
2020-07-29 09:47:00,70.19,70.69,69.89,70.39,15000
2020-07-29 09:48:00,70.21,70.71,69.91,70.41,15000
2020-07-29 09:49:00,70.23,70.73,69.93,70.43,15000
2020-07-29 09:50:00,70.25,70.75,69.95,70.45,15000
2020-07-29 09:51:00,70.27,70.77,69.97,70.47,15000
2020-07-29 09:52:00,70.28,70.78,69.98,70.48,15000
2020-07-29 09:53:00,70.30,70.80,70.00,70.50,15000
2020-07-29 09:54:00,70.32,70.82,70.02,70.52,15000
2020-07-29 09:55:00,70.34,70.84,70.04,70.54,15000
2020-07-29 09:56:00,70.35,70.85,70.05,70.55,15000
2020-07-29 09:57:00,70.37,70.87,70.07,70.57,15000
2020-07-29 09:58:00,70.39,70.89,70.09,70.59,15000
2020-07-29 09:59:00,70.41,70.91,70.11,70.61,15000
2020-07-29 10:00:00,70.42,70.92,70.12,70.62,15000
2020-07-29 10:01:00,70.44,70.94,70.14,70.64,15000
2020-07-29 10:02:00,70.46,70.96,70.16,70.66,15000
2020-07-29 10:03:00,70.48,70.98,70.18,70.68,15000
2020-07-29 10:04:00,70.50,71.00,70.20,70.70,15000
2020-07-29 10:05:00,70.51,71.01,70.21,70.71,15000
