DateTime,Open,High,Low,Close,Volume
2020-09-01 09:30:00,480.00,481.00,479.50,480.50,35000
2020-09-01 09:31:00,480.50,480.70,478.00,478.20,35000
2020-09-01 09:32:00,478.20,482.00,478.00,481.50,35000
2020-09-01 09:33:00,481.50,485.00,481.30,484.80,35000
2020-09-01 09:34:00,484.80,485.00,484.50,484.90,35000
2020-09-01 09:35:00,484.90,485.00,484.65,484.85,20000
2020-09-01 09:36:00,484.85,485.31,484.80,485.21,65000
2020-09-01 09:37:00,485.03,485.53,484.73,485.23,15000
2020-09-01 09:38:00,485.07,485.57,484.77,485.27,15000
2020-09-01 09:39:00,485.10,485.60,484.80,485.30,15000
2020-09-01 09:40:00,485.13,485.63,484.83,485.33,15000
2020-09-01 09:41:00,485.17,485.67,484.87,485.37,15000
2020-09-01 09:42:00,485.20,485.70,484.90,485.40,15000
2020-09-01 09:43:00,485.23,485.73,484.93,485.43,15000
2020-09-01 09:44:00,485.27,485.77,484.97,485.47,15000
2020-09-01 09:45:00,485.30,485.80,485.00,485.50,15000
2020-09-01 09:46:00,485.33,485.83,485.03,485.53,15000
2020-09-01 09:47:00,485.37,485.87,485.07,485.57,15000
2020-09-01 09:48:00,485.40,485.90,485.10,485.60,15000
2020-09-01 09:49:00,485.43,485.93,485.13,485.63,15000
2020-09-01 09:50:00,485.47,485.97,485.17,485.67,15000
2020-09-01 09:51:00,485.50,486.00,485.20,485.70,15000
2020-09-01 09:52:00,485.53,486.03,485.23,485.73,15000
2020-09-01 09:53:00,485.57,486.07,485.27,485.77,15000
2020-09-01 09:54:00,485.60,486.10,485.30,485.80,15000
2020-09-01 09:55:00,485.63,486.13,485.33,485.83,15000
2020-09-01 09:56:00,485.67,486.17,485.37,485.87,15000
2020-09-01 09:57:00,485.70,486.20,485.40,485.90,15000
2020-09-01 09:58:00,485.73,486.23,485.43,485.93,15000
2020-09-01 09:59:00,485.77,486.27,485.47,485.97,15000
2020-09-01 10:00:00,485.80,486.30,485.50,486.00,15000
2020-09-01 10:01:00,485.83,486.33,485.53,486.03,15000
2020-09-01 10:02:00,485.87,486.37,485.57,486.07,15000
2020-09-01 10:03:00,485.90,486.40,485.60,486.10,15000
2020-09-01 10:04:00,485.93,486.43,485.63,486.13,15000
2020-09-01 10:05:00,485.97,486.47,485.67,486.17,15000
2020-09-01 10:06:00,486.00,486.50,485.70,486.20,15000
2020-09-01 10:07:00,486.03,486.53,485.73,486.23,15000
2020-09-01 10:08:00,486.07,486.57,485.77,486.27,15000
2020-09-01 10:09:00,486.10,486.60,485.80,486.30,15000
2020-09-01 10:10:00,486.13,486.63,485.83,486.33,15000
2020-09-01 10:11:00,486.17,486.67,485.87,486.37,15000
2020-09-01 10:12:00,486.20,486.70,485.90,486.40,15000
2020-09-01 10:13:00,486.23,486.73,485.93,486.43,15000
2020-09-01 10:14:00,486.27,486.77,485.97,486.47,15000
2020-09-01 10:15:00,486.30,486.80,486.00,486.50,15000
2020-09-01 10:16:00,486.33,486.83,486.03,486.53,15000
2020-09-01 10:17:00,486.37,486.87,486.07,486.57,15000
2020-09-01 10:18:00,486.40,486.90,486.10,486.60,15000
2020-09-01 10:19:00,486.43,486.93,486.13,486.63,15000
2020-09-01 10:20:00,486.47,486.97,486.17,486.67,15000
2020-09-01 10:21:00,486.50,487.00,486.20,486.70,15000
2020-09-01 10:22:00,486.53,487.03,486.23,486.73,15000
2020-09-01 10:23:00,486.57,487.07,486.27,486.77,15000
2020-09-01 10:24:00,486.60,487.10,486.30,486.80,15000
