security_id,ticker,exchange,name,first_trade_date,last_trade_date,delisting_date,active_flag,cusip,figi
SEC_AAPL,AAPL,NASDAQ,Apple Inc.,1980-12-12,2026-12-31,,True,037833100,BBG000B9XRY4
SEC_MSFT,MSFT,NASDAQ,Microsoft Corp.,1986-03-13,2026-12-31,,True,594918104,BBG000BPH459
SEC_TSLA,TSLA,NASDAQ,Tesla Inc.,2010-06-29,2026-12-31,,True,88160R101,BBG000N9MNX3
SEC_NVDA,NVDA,NASDAQ,NVIDIA Corp.,1999-01-22,2026-12-31,,True,67066G104,BBG000BBJQV0
SEC_AMD,AMD,NASDAQ,Advanced Micro Devices,1979-10-15,2026-12-31,,True,007903107,BBG000BBQCY0
SEC_AMZN,AMZN,NASDAQ,Amazon.com Inc.,1997-05-15,2026-12-31,,True,023135106,BBG000BVPV84
SEC_META,META,NASDAQ,Meta Platforms Inc.,2012-05-18,2026-12-31,,True,30303M102,BBG000MM2P62
SEC_SIVB,SIVB,NASDAQ,SVB Financial Group,1987-10-01,2023-03-10,2023-03-10,False,78486Q101,BBG000BW06W1
SEC_XOM,XOM,NYSE,Exxon Mobil Corp.,1970-01-02,2026-12-31,,True,30231G102,BBG000G04722
SEC_JNJ,JNJ,NYSE,Johnson & Johnson,1970-01-02,2026-12-31,,True,478160104,BBG000BMHYD1
SEC_RECY_OLD,RECY,NYSE,Old Recycling Corp,2010-01-01,2019-12-31,2019-12-31,False,999001100,BBG000RECY01
SEC_RECY_NEW,RECY,NASDAQ,New Renewable Energy Inc,2020-06-01,2026-12-31,,True,999002100,BBG000RECY02
SEC_PENNY,PENNY,NASDAQ,Penny Speculation Inc.,2019-01-01,2026-12-31,,True,111222100,BBG000PENNY1
SEC_ILLIQ,ILLIQ,NYSE,Illiquid Holding Corp.,2018-01-01,2026-12-31,,True,333444100,BBG000ILLIQ1
